date,open,high,low,close,daily_ret
2018-09-10,10869.8,10877.72,10689.29,10725.8,-0.013247713849380838
2018-09-11,10723.0,10765.42,10669.59,10752.3,0.0027324442786533787
2018-09-12,10762.91,10779.93,10667.25,10722.57,-0.003748056984588799
2018-09-13,10726.67,10758.84,10701.25,10727.23,5.2206323117864883e-05
2018-09-14,10776.53,10882.04,10770.47,10868.14,0.008500881081386913
2018-09-17,10881.78,10883.98,10806.73,10828.61,-0.0048861491410412405
2018-09-18,10794.22,10806.56,10750.81,10760.21,-0.003150760314316381
2018-09-19,10808.5,10882.75,10808.5,10857.27,0.004512189480501583
2018-09-20,10886.19,10908.36,10814.54,10831.41,-0.005032063559427202
2018-09-21,10857.1,10972.41,10835.84,10972.41,0.010620699818551849
2018-09-25,10959.56,11003.49,10941.77,10978.85,0.0017601071575867877
2018-09-26,10974.08,11007.35,10947.29,10974.19,1.0023619292143238e-05
2018-09-27,10973.77,11051.09,10961.27,11034.19,0.00550585623719102
2018-09-28,11050.09,11073.95,10966.96,11006.34,-0.003959243770865206
2018-10-01,11014.19,11062.43,11012.95,11051.8,0.0034146859641970284
2018-10-02,11048.89,11064.34,10906.42,10919.63,-0.011698912741460954
2018-10-03,10918.74,10926.73,10839.46,10863.94,-0.00501889412148282
2018-10-04,10826.19,10826.19,10707.76,10718.91,-0.00990930327289663
2018-10-05,10665.29,10669.63,10446.94,10517.12,-0.013892730530534081
2018-10-08,10467.85,10507.83,10403.13,10455.93,-0.0011387247620093799
2018-10-09,10464.39,10503.1,10428.97,10466.83,0.0002331717376742315
2018-10-11,10272.04,10272.04,9797.93,9806.11,-0.04535905234013893
2018-10-12,9811.58,10046.01,9740.76,10045.81,0.023872811514557224
2018-10-15,9989.63,9989.63,9890.47,9901.12,-0.008860188014971349
2018-10-16,9891.97,10011.19,9888.73,9981.1,0.009010338688855812
2018-10-17,10048.43,10127.01,9978.25,9979.14,-0.006895604586985349
2018-10-18,9975.46,10019.5,9919.79,9953.73,-0.002178345660250214
2018-10-19,9879.47,9919.26,9762.91,9919.26,0.004027543987683568
2018-10-22,9871.3,9984.15,9822.15,9974.28,0.010432263227741156
2018-10-23,9912.28,9912.28,9775.2,9775.2,-0.013829310713579512
2018-10-24,9774.29,9809.19,9667.85,9759.4,-0.0015233843071978947
2018-10-25,9622.95,9622.95,9475.61,9520.79,-0.010616287105305489
2018-10-26,9570.19,9629.07,9400.69,9489.18,-0.008464826717128893
2018-10-29,9515.43,9554.35,9459.12,9516.32,9.353229438913147e-05
2018-10-30,9508.81,9574.83,9481.66,9526.11,0.0018193654095519651
2018-10-31,9588.86,9802.13,9588.86,9802.13,0.02224143433108816
2018-11-01,9812.2,9869.59,9742.61,9844.74,0.0033162797333929905
2018-11-02,9871.4,9906.59,9817.29,9906.59,0.003564843892457148
2018-11-05,9856.85,9889.81,9786.25,9889.81,0.0033438674627288556
2018-11-06,9888.41,9899.97,9782.86,9824.95,-0.006417614156370877
2018-11-07,9818.15,9912.53,9817.95,9908.35,0.009187066809938749
2018-11-08,9958.47,10014.42,9938.55,9945.31,-0.0013214881402464629
2018-11-09,9921.78,9921.78,9798.45,9830.01,-0.0092493484032099
2018-11-12,9806.8,9875.84,9764.46,9831.21,0.0024890892034099554
2018-11-13,9727.17,9777.35,9616.16,9775.84,0.0050035107847401505
2018-11-14,9799.69,9823.25,9763.89,9791.88,-0.000796963985595589
2018-11-15,9806.58,9844.39,9755.12,9826.46,0.002027210301654536
